trial_type,go_nogo,stim_type,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,stimulus_image,trial_time,buzz_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,imageTarg.started,keyResp.started,stopSignal.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,no_go_acc,new_buzz_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,textPostTrial.stopped,postTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.3655490829987684,,0.320373374997871,0.32045870799629483,0.32047954199515516,0.3207105830006185,0.3207156249991385,0.32080620800115867,0.32081233299686573,0.3655490829987684,0.3655490829987684,1.1264464579944615,space,0.7540339580009459,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,767371,001,2024-02-09_16h42.50.840,ESST,2023.2.3,None,2024-02-09 16h43.00.487446 -0800,
Positive,no_go,positive_image,None,None,,,,,0,0,0,0,0,0,0,42,1.9151803749991814,,,,,,,,,,,,,,,1.1268392499987385,1.1383954170014476,1.1383954170014476,1.8970443329963018,space,0.7465696250001201,None,1.9089182499956223,0.2,Naturalistic_scenes/Positive/4100.jpg,1.25,0.5,1.9091900829953374,1.9091984580009012,1.9151803749991814,2.1087187079974683,2.101498083000479,2.1015188329984085,2.1087187079974683,2.6234490829956485,2.6010744579980383,2.6010915829974692,2.843359667000186,2.843359667000186,3.1005810836616243,3.596539375001157,4.098818041995401,4.098818041995401,4.084363750000193,None,0,1,0.55,0.55,4.0850898749995395,4.098818041995401,5.090994999998657,5.084808416999294,767371,001,2024-02-09_16h42.50.840,ESST,2023.2.3,None,2024-02-09 16h43.00.487446 -0800,
Ambiguous,go,ambiguous_image,a,l,,,,,0,0,0,0,0,1,1,2,5.090994999998657,,,,,,,,,,,,,,,,,,,,,,5.085334791998321,0.15,Naturalistic_scenes/Positive/9156.jpg,1.25,0.55,5.085753708000993,5.085770124998817,5.090994999998657,5.233534749997489,5.225525082998502,5.225539374994696,5.233534749997489,5.7383550419981475,5.718407666994608,5.718427667001379,5.97464591699827,5.97464591699827,6.284072624661591,6.779706916997384,7.217224249994615,7.217224249994615,7.207917791994987,None,0,1,0.6000000000000001,0.6000000000000001,7.208192874997621,7.217224249994615,8.208227416995214,8.201449000000139,767371,001,2024-02-09_16h42.50.840,ESST,2023.2.3,None,2024-02-09 16h43.00.487446 -0800,
,,,,,,,,,,,,,,,,,8.208227416995214,,,,,,,,,,,,,,,,,,,,,,8.201970916998107,0.35,Naturalistic_scenes/Positive/8502.jpg,1.25,0.6000000000000001,8.202441999994335,8.202463000001444,8.208227416995214,8.558673207997344,8.551488332996087,8.551511124998797,8.558673207997344,9.06200570800138,9.04228266699647,9.042293041995435,9.291440875000262,9.291440875000262,9.650753124664577,10.143519666999055,10.540672499999346,10.540672499999346,10.533935250001377,None,0,1,0.6500000000000001,0.6500000000000001,10.534125874997699,10.540672499999346,,,,,,,,,,
