trial_type,go_nogo,stim_type,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,stimulus_image,trial_time,buzz_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,imageTarg.started,keyResp.started,stopSignal.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,no_go_acc,new_buzz_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,postTrial.stopped,textPostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.3649021250021178,,0.3198889999985113,0.3199884589994326,0.32000970900116954,0.32030904199928045,0.32031520899909083,0.320415750000393,0.3204216250014724,0.3649021250021178,0.3649021250021178,1.5977521669992711,space,1.2090979169952334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368874,001,2024-02-09_16h41.41.737,ESST,2023.2.3,None,2024-02-09 16h41.48.031649 -0800,
Positive,no_go,positive_image,None,None,,,,,0,0,0,0,0,0,0,47,2.3526323339974624,,,,,,,,,,,,,,,1.5982008749997476,1.6092104999988806,1.6092104999988806,2.328647333997651,space,0.7119167080018087,None,2.342797541998152,0.15,Naturalistic_scenes/Positive/5982.jpg,1.25,0.5,2.3431065839977236,2.3431139169988455,2.3526323339974624,2.5007762919995002,2.4947701249984675,2.494797874998767,2.5007762919995002,3.0211667089970433,2.9946635000014794,2.994685792000382,3.2510022089991253,3.2510022089991253,3.5024641335985507,4.009236416997737,4.508712709000974,4.508712709000974,4.494811833996209,None,0,1,0.55,0.55,4.495551084000908,4.508712709000974,5.5001134170015575,,368874,001,2024-02-09_16h41.41.737,ESST,2023.2.3,None,2024-02-09 16h41.48.031649 -0800,
Positive,go,positive_image,a,None,,,,,0,0,0,0,0,1,1,24,5.5103949589974945,,,,,,,,,,,,,,,,,,,,,,5.500429792002251,0.15,Naturalistic_scenes/Positive/2388.jpg,1.25,0.55,5.500751624997065,5.500761249997595,5.5103949589974945,5.660493458999554,5.651796166996064,5.651807583999471,5.660493458999554,,6.151868834000197,6.151879833996645,6.4017818339998485,6.4017818339998485,6.702229633599927,7.206047209001554,7.650869999997667,7.650869999997667,7.644735916997888,None,0,1,0.6000000000000001,0.6000000000000001,7.645187208996504,7.650869999997667,8.645101542002521,8.651781833999848,368874,001,2024-02-09_16h41.41.737,ESST,2023.2.3,None,2024-02-09 16h41.48.031649 -0800,
Negative,go,negative_image,l,None,,,,,0,0,0,0,0,2,2,18,8.651781833999848,,,,,,,,,,,,,,,,,,,,,,8.645620666997274,0.2,Naturalistic_scenes/Positive/4658.jpg,1.25,0.6000000000000001,8.646077500001411,8.646100792000652,8.651781833999848,8.851792667002883,8.844538291996287,8.844563833998109,8.851792667002883,9.364240750001045,9.344129500001145,9.34413641699939,9.601870042002702,9.601870042002702,9.952486758600571,10.456236792000709,10.851381250002305,10.851381250002305,10.844761542000924,None,0,1,0.6500000000000001,0.6500000000000001,10.845204750003177,10.851381250002305,11.84463170899835,11.851360250002472,368874,001,2024-02-09_16h41.41.737,ESST,2023.2.3,None,2024-02-09 16h41.48.031649 -0800,
,,,,,,,,,,,,,,,,,11.851360250002472,,,,,,,,,,,,,,,,,,,,,,11.845144042003085,0.15,Naturalistic_scenes/Positive/2050.jpg,1.25,0.6500000000000001,11.84569987499708,11.84572283399757,11.851360250002472,12.001208959001815,11.994588000001386,11.994613542003208,12.001208959001815,12.513537667000492,12.49499804199877,12.495014334002917,12.751441209002223,12.751441209002223,13.152467175597849,13.65666770900134,14.010054042002594,14.010054042002594,13.997095999999146,None,0,1,0.7000000000000002,0.7000000000000002,13.997323791998497,14.010054042002594,,,,,,,,,,
