trial_type,go_nogo,stim_type,stim_file,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,textPostTrial.stopped,postTrial.stopped,buzz_time,no_go_acc,new_buzz_time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.5626811660004023,,0.5151772080025694,0.5152785410027718,0.5152962500033027,0.5155419160000747,0.515547000002698,0.515651000001526,0.5156570409999404,0.5626811660004023,0.5626811660004023,1.6214542080015235,space,1.0241458749987942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724626,001,2024-02-09_11h34.27.742,ESST,2023.2.3,120.74074349361602,2024-02-09 11h34.34.311563 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,0,0,17,2.321071333000873,,,,,,,,,,,,,,,1.621920208002848,1.6302138330029265,1.6302138330029265,2.300238540999999,space,0.6669975829972827,None,2.3139044160016056,0.3,Naturalistic_scenes/Positive/2332.jpg,1.25,2.3142547080024087,2.314262541000062,2.321071333000873,2.614960291000898,2.608109708002303,2.6081251250034256,2.614960291000898,3.132449250002537,3.100667250000697,3.100686958001461,3.133265249333393,3.3571049160018447,3.3571049160018447,3.631804208001995,4.600992333002068,4.600992333002068,4.590612166000938,l,0,0.3852985000012268,None,1,0.3852985000012268,0.25,4.591181916002824,4.600992333002068,5.599555083001178,5.587918541001272,,,,724626,001,2024-02-09_11h34.27.742,ESST,2023.2.3,120.74074349361602,2024-02-09 11h34.34.311563 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,1,1,9,5.599555083001178,,,,,,,,,,,,,,,,,,,,,,5.588223833001393,0.25,Naturalistic_scenes/Positive/9156.jpg,1.25,5.588427250000677,5.588435125002434,5.599555083001178,5.839604415999929,5.833689000002778,5.833712416002527,5.839604415999929,6.343164208003145,6.322364333002042,6.322373250000965,6.35537670833631,6.573254416001873,6.573254416001873,6.851114666002104,7.815027625001676,7.815027625001676,7.806059416001517,l,0,0.6120914170023752,None,1,0.6120914170023752,0.25,7.806372083003225,7.815027625001676,8.806196916000772,8.800390875003359,,,,724626,001,2024-02-09_11h34.27.742,ESST,2023.2.3,120.74074349361602,2024-02-09 11h34.34.311563 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,2,2,19,8.806196916000772,,,,,,,,,,,,,,,,,,,,,,8.80098204100068,0.25,Naturalistic_scenes/Positive/8200.jpg,1.25,8.80142537500069,8.801443375003146,8.806196916000772,9.0492740410009,9.041197333001037,9.041210958002921,9.0492740410009,9.5522860830024,9.533808750002208,9.53382650000276,9.549700332667515,9.78937095800211,9.78937095800211,10.045890500001406,11.031742958002724,11.031742958002724,11.023753000001307,l,0,0.6025752499990631,None,1,0.6025752499990631,0.25,11.024051916003373,11.031742958002724,12.023919750001369,12.016585833000136,,,,724626,001,2024-02-09_11h34.27.742,ESST,2023.2.3,120.74074349361602,2024-02-09 11h34.34.311563 -0800,
Ambiguous,go,ambiguous_image,None,a,l,,,,,0,0,0,0,0,3,3,4,12.023919750001369,,,,,,,,,,,,,,,,,,,,,,12.01709962500172,0.3,Naturalistic_scenes/Positive/4690.jpg,1.25,12.017540000000736,12.017560541000421,12.023919750001369,12.31674541600296,12.307267833002697,12.307282708003186,12.31674541600296,12.820075208001072,12.80036283300069,12.80038450000211,12.816279832666867,13.057729291002033,13.057729291002033,13.31336791600188,14.29797000000326,14.29797000000326,14.290612458000396,a,0,0.5602144580007007,None,1,0.5602144580007007,0.25,14.290912708001997,14.29797000000326,15.290697250002268,15.283427916001529,,,,724626,001,2024-02-09_11h34.27.742,ESST,2023.2.3,120.74074349361602,2024-02-09 11h34.34.311563 -0800,
Positive,no_go,positive_image,None,None,None,,,,,0,0,0,0,0,4,4,44,15.290697250002268,,,,,,,,,,,,,,,,,,,,,,15.283963500001846,0.2,Naturalistic_scenes/Positive/4006.jpg,1.25,15.284354125000391,15.284375916002318,15.290697250002268,15.483046583001851,15.473841666000226,15.473856333002914,15.483046583001851,15.989422208000178,15.967346708002879,15.967363583000406,16.23292070766935,16.221624290999898,16.221624290999898,16.72756937500162,17.478012916002626,17.478012916002626,17.46748112500063,None,0,,,,,0.3,17.46804137500294,17.478012916002626,18.474264791002497,18.46767600000021,0.25,1,0.3,724626,001,2024-02-09_11h34.27.742,ESST,2023.2.3,120.74074349361602,2024-02-09 11h34.34.311563 -0800,
Negative,no_go,negative_image,None,None,None,,,,,0,0,0,0,0,5,5,41,18.474264791002497,,,,,,,,,,,,,,,,,,,,,,18.46824183300123,0.35,Naturalistic_scenes/Positive/5829.jpg,1.25,18.468678666002234,18.468700458000967,18.474264791002497,18.823760750001384,18.817164416002925,18.817186166001193,18.823760750001384,19.33052679100001,19.307751416003157,19.307760208001127,19.61631370766942,19.557238041001256,19.557238041001256,20.11253433300226,20.798837833001016,20.798837833001016,20.791632958000264,None,0,,,,,0.35,20.791898125000444,20.798837833001016,21.787244958002702,21.782427041001938,0.3,1,0.35,724626,001,2024-02-09_11h34.27.742,ESST,2023.2.3,120.74074349361602,2024-02-09 11h34.34.311563 -0800,
,,,,,,,,,,,,,,,,,,21.787244958002702,,,,,,,,,,,,,,,,,,,,,,21.782668750001903,0.15,Naturalistic_scenes/Positive/4625.jpg,1.25,21.782852500000445,21.78286008300347,21.787244958002702,21.93314037500022,21.92271525000251,21.922727041001053,21.93314037500022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
