trial_type,go_nogo,stim_type,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,stimulus_image,trial_time,buzz_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,imageTarg.started,keyResp.started,stopSignal.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,no_go_acc,new_buzz_time,postTrial.started,textPostTrial.started,textPostTrial.stopped,postTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.4960864999957266,,0.4500082909944467,0.45009887499327306,0.4501190829978441,0.45035704099427676,0.4503619999959483,0.45044812499691034,0.45045412499894155,0.4960864999957266,0.4960864999957266,1.4738340829935623,space,0.9535780829974101,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811618,001,2024-02-09_17h55.51.822,ESST,2023.2.3,120.16588997000034,2024-02-09 17h55.57.505590 -0800,
Negative,no_go,negative_image,None,None,,,,,0,0,0,0,0,0,0,37,2.3114934579934925,,,,,,,,,,,,,,,1.4742426659940975,1.4893717909944826,1.4893717909944826,2.2830514579982264,space,0.7920921249969979,None,2.2982163329943432,0.15,Naturalistic_scenes/Positive/4235.jpg,1.25,0.5,2.2985291249933653,2.298541165997449,2.3114934579934925,2.454328790998261,2.4485435409951606,2.4485712079986115,2.454328790998261,2.96707908299868,2.9395289159947424,2.9395424159956747,3.189267915993696,3.189267915993696,3.4477945416622484,3.9439593329952913,4.445064415995148,4.445064415995148,4.431807665998349,None,0,1,0.55,4.432546457996068,4.445064415995148,5.435648624996247,5.430854749996797,811618,001,2024-02-09_17h55.51.822,ESST,2023.2.3,120.16588997000034,2024-02-09 17h55.57.505590 -0800,
Ambiguous,go,ambiguous_image,a,l,,,,,0,0,0,0,0,1,1,11,5.435648624996247,,,,,,,,,,,,,,,,,,,,,,5.431073499996273,0.3,Naturalistic_scenes/Positive/8540.jpg,1.25,0.55,5.431263290993229,5.431272415997228,5.435648624996247,5.730818665993866,5.7191405829944415,5.71915474999696,5.730818665993866,6.231663332997414,6.213682040994172,6.213691665994702,6.468643499996688,6.468643499996688,6.77111608266229,7.266635790998407,7.714374082999711,7.714374082999711,7.705065457994351,None,0,1,0.6000000000000001,7.705327790994488,7.714374082999711,8.70236374999513,8.697442915996362,811618,001,2024-02-09_17h55.51.822,ESST,2023.2.3,120.16588997000034,2024-02-09 17h55.57.505590 -0800,
Positive,no_go,positive_image,None,None,,,,,0,0,0,0,0,2,2,42,8.70236374999513,,,,,,,,,,,,,,,,,,,,,,8.69765720799478,0.3,Naturalistic_scenes/Positive/2395.jpg,1.25,0.6000000000000001,8.69784958299715,8.697858832994825,8.70236374999513,8.997182957995392,8.985368790999928,8.985385957996186,8.997182957995392,9.498491708000074,9.480827915998816,9.48083499999484,9.731001041000127,9.731001041000127,10.087788749664712,10.583676790993195,10.972335540995118,10.972335540995118,10.965275790993473,None,0,1,0.6500000000000001,10.965790124995692,10.972335540995118,11.969426540999848,11.964447665995976,811618,001,2024-02-09_17h55.51.822,ESST,2023.2.3,120.16588997000034,2024-02-09 17h55.57.505590 -0800,
,,,,,,,,,,,,,,,,,11.969426540999848,,,,,,,,,,,,,,,,,,,,,,11.964624915999593,0.25,Naturalistic_scenes/Positive/4650.jpg,1.25,0.6500000000000001,11.964860290994693,11.964869332994567,11.969426540999848,12.21877320799831,12.214299624996784,12.2143085409989,12.21877320799831,12.721544207997795,12.701820999995107,12.701830499994685,12.955712040995422,12.955712040995422,13.36455104166477,,,,,,,,,,,,,,,,,,,,
