trial_type,go_nogo,stim_type,stim_file,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,textPostTrial.stopped,postTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.47685541700047906,,0.42951608400107943,0.4296102090011118,0.4296323750022566,0.42988429199976963,0.42988954199972795,0.4299777920023189,0.4299830000018119,0.47685541700047906,0.47685541700047906,1.0010095840007125,space,0.5063749580003787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091729,001,2024-02-09_11h49.03.773,ESST,2023.2.3,None,2024-02-09 11h49.10.218485 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,0,0,29,1.6241386250003416,,,,,,,,,,,,,,,1.0014848749997327,1.0185161250010424,1.0185161250010424,1.5950762090033095,space,0.5694059579982422,None,1.6109973340026045,0.15,Naturalistic_scenes/Positive/1340.jpg,1.25,1.611287292002089,1.6112972500013711,1.6241386250003416,1.7683065840028576,1.7617839590020594,1.7618121250015975,1.7683065840028576,2.2862579170032404,2.2519800840018434,2.2519915840020985,2.2849009173337738,2.510451166999701,2.510451166999701,2.7799973750006757,3.757438792003086,3.757438792003086,3.745191292000527,a,0,0.406500834000326,None,1,0.406500834000326,0.25,3.74632395899971,3.757438792003086,4.751221542002895,4.744797958999698,091729,001,2024-02-09_11h49.03.773,ESST,2023.2.3,None,2024-02-09 11h49.10.218485 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,1,1,24,4.751221542002895,,,,,,,,,,,,,,,,,,,,,,4.745347875003063,0.15,Naturalistic_scenes/Positive/5200.jpg,1.25,4.745684000001347,4.745704750002915,4.751221542002895,4.894583667002735,4.885243875000015,4.885258792000968,4.894583667002735,5.406114417000936,5.385053334000986,5.3850644170015585,5.417978167334271,5.632487709000998,5.632487709000998,5.9111680000023625,6.876399084001605,6.876399084001605,6.868729792000522,a,0,0.6016107079994981,None,1,0.6016107079994981,0.25,6.869374792000599,6.876399084001605,7.867761667002924,7.861557959000493,091729,001,2024-02-09_11h49.03.773,ESST,2023.2.3,None,2024-02-09 11h49.10.218485 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,2,2,15,7.867761667002924,,,,,,,,,,,,,,,,,,,,,,7.862076042001718,0.25,Naturalistic_scenes/Positive/4689.jpg,1.25,7.862395459000254,7.862415584000701,7.867761667002924,8.11090229200272,8.101713959000335,8.101726209002663,8.11090229200272,8.615483250003308,8.594902750002802,8.594918709000922,8.627495333334569,8.85106320900013,8.85106320900013,9.123757209003088,10.09448862499994,10.09448862499994,10.084416749999946,l,0,0.3068373749993043,None,1,0.3068373749993043,0.25,10.084749792000366,10.09448862499994,11.08561550000013,11.07861212500211,091729,001,2024-02-09_11h49.03.773,ESST,2023.2.3,None,2024-02-09 11h49.10.218485 -0800,
,,,,,,,,,,,,,,,,,,11.08561550000013,,,,,,,,,,,,,,,,,,,,,,11.079133541999909,0.25,Naturalistic_scenes/Positive/5000.jpg,1.25,11.079453917001956,11.079470833999949,11.08561550000013,11.334612417002063,11.328171291999752,11.328195500002039,11.334612417002063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
