trial_type,go_nogo,stim_type,stim_file,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,textPostTrial.stopped,postTrial.stopped,buzz_time,no_go_acc,new_buzz_time,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.5360208329984744,,0.4866849579993868,0.48683462500048336,0.4868814170004043,0.4871217079999042,0.48712733299907995,0.4872452079980576,0.4872512080000888,0.5360208329984744,0.5360208329984744,2.9378755830002774,space,2.3789075419990695,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,056143,001,2024-02-09_11h58.59.275,ESST,2023.2.3,None,2024-02-09 11h59.05.657298 -0800,
Positive,go,positive_image,None,a,None,,,,,0,0,0,0,0,0,0,28,4.045990124999662,,,,,,,,,,,,,,,2.9383170000000973,2.9468039579987817,2.9468039579987817,4.016250541997579,space,1.0678178749985818,None,4.031732999999804,0.3,Naturalistic_scenes/Positive/4641.jpg,1.25,4.032028457997512,4.032037666998804,4.045990124999662,4.339751542000158,4.332366332997481,4.332390707997547,4.339751542000158,4.869610957997793,4.831811416999699,4.831829124999786,4.881135582997376,5.081159624998691,5.081159624998691,5.37692554199748,6.327063332999387,6.327063332999387,6.315051916997618,a,0,0.7009544590000587,None,1,0.7009544590000587,0.25,6.31610479200026,6.327063332999387,7.323005624999496,7.315442832998087,,,,056143,001,2024-02-09_11h58.59.275,ESST,2023.2.3,None,2024-02-09 11h59.05.657298 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,1,1,18,7.323005624999496,,,,,,,,,,,,,,,,,,,,,,7.316024207997543,0.15,Naturalistic_scenes/Positive/5760.jpg,1.25,7.316394874997059,7.316418750000594,7.323005624999496,7.4725284579981235,7.465585207999538,7.46560929199768,7.4725284579981235,7.976205749997462,7.955552457999147,7.955566417000227,7.988462625333826,8.214520792000258,8.214520792000258,8.483813167000335,9.461392416997114,9.461392416997114,9.449003582998557,a,0,0.5859545409985003,None,0,0.5859545409985003,0.25,9.449663707997388,9.461392416997114,10.455146958000114,10.44868004199816,,,,056143,001,2024-02-09_11h58.59.275,ESST,2023.2.3,None,2024-02-09 11h59.05.657298 -0800,
Positive,no_go,positive_image,None,None,None,,,,,0,0,0,0,0,2,2,45,10.455146958000114,,,,,,,,,,,,,,,,,,,,,,10.449183958000503,0.2,Naturalistic_scenes/Positive/4698.jpg,1.25,10.449514542000543,10.44953254199936,10.455146958000114,10.655469749999611,10.648855291998188,10.648879999997007,10.655469749999611,11.163269999997283,11.139270166997449,11.139279249997344,11.39805562466451,11.388862042000255,11.388862042000255,11.894373666997126,12.630658832997142,12.630658832997142,12.621629332999873,None,0,,,,,0.3,12.621865249999246,12.630658832997142,13.621861083000113,13.615548499998113,0.25,1,0.3,056143,001,2024-02-09_11h58.59.275,ESST,2023.2.3,None,2024-02-09 11h59.05.657298 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,3,3,14,13.621861083000113,,,,,,,,,,,,,,,,,,,,,,13.616216291997262,0.25,Naturalistic_scenes/Positive/4505.jpg,1.25,13.616719541998464,13.61673220800003,13.621861083000113,13.87169429200003,13.865340249998553,13.865361124997435,13.87169429200003,14.377791374998196,14.355369458000496,14.355379417000222,14.388326708333384,14.604811916997278,14.604811916997278,14.881873124999402,15.84658275000038,15.84658275000038,15.838502749997133,a,0,0.4948070420032309,None,0,0.4948070420032309,0.25,15.838846416998422,15.84658275000038,16.838057582997862,16.8323148749987,,,,056143,001,2024-02-09_11h58.59.275,ESST,2023.2.3,None,2024-02-09 11h59.05.657298 -0800,
Negative,go,negative_image,None,l,None,,,,,0,0,0,0,0,4,4,13,16.838057582997862,,,,,,,,,,,,,,,,,,,,,,16.832848292000563,0.35,Naturalistic_scenes/Positive/2071.jpg,1.25,16.83321262499885,16.833224333000544,16.838057582997862,17.1807222919997,17.172194208000292,17.172219416999724,17.1807222919997,17.684896124999796,17.665237124998384,17.66525399999955,17.68124754166662,17.92182049999974,17.92182049999974,18.177239499997086,19.1645795000004,19.1645795000004,19.155384207999305,a,0,0.6196264579994022,None,0,0.6196264579994022,0.25,19.15571487499983,19.1645795000004,20.1554143329995,20.14861779199782,,,,056143,001,2024-02-09_11h58.59.275,ESST,2023.2.3,None,2024-02-09 11h59.05.657298 -0800,
,,,,,,,,,,,,,,,,,,20.1554143329995,,,,,,,,,,,,,,,,,,,,,,20.14911870799915,0.15,Naturalistic_scenes/Positive/2150.jpg,1.25,20.149435249997623,20.149457749997964,20.1554143329995,20.297948082999937,20.289301082997554,20.289313875000516,20.297948082999937,20.801867166999727,20.78222545799872,20.782241624998278,20.798150874667286,21.038408917000197,21.038408917000197,21.29384058299911,22.2802307919992,22.2802307919992,22.27167520799776,l,0,0.5931009589985479,None,1,0.5931009589985479,0.25,22.27198495799894,22.2802307919992,,,,,,,,,,,,,
