trial_type,go_nogo,stim_type,stim_subtype,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,prepStims.started,prepStims.stopped,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,trial_img,trial_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,stopSignal.started,imageTarg.started,keyResp.started,stopSignal.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,keyResp.rt,keyResp.duration,go_accuracy,go_reaction_time,postTrial.started,textPostTrial.started,postTrial.stopped,imageTarg.stopped,keyResp.stopped,buzz_time,no_go_acc,new_buzz_time,textPostTrial.stopped,blockFeedback.started,feedbackText.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.21024066599966318,,0.01108725000085542,0.011699750000843778,0.16185650000079477,0.16202650000013818,0.1620524160007335,0.16398841599948355,0.16399420800007647,0.16414079099922674,0.16414624999924854,0.21024066599966318,0.21024066599966318,6.589095625000482,space,6.357439667001017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,9,9,17,34.337215083000046,,,,,,,,,,,,,,,,,,,,,,,,34.3301784159994,0.2,Naturalistic_scenes/Ambiguous/1122.jpg,1.25,34.33039466599985,34.33040237500063,34.337215083000046,34.538039208000555,34.52937154100073,34.52938062499925,34.538039208000555,,35.02952287500011,35.029529416000514,35.055052120500115,35.280317291000756,35.280317291000756,35.56160074999934,35.772054499999285,l,0,0.48852658299983887,None,1,0.48852658299983887,35.77240370800064,35.7798037499997,36.77197737499955,,,,,,36.778919041000336,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,10,10,4,36.778919041000336,,,,,,,,,,,,,,,,,,,,,,,,36.77254420800091,0.15,Naturalistic_scenes/Negative/3005.jpg,1.25,36.77295199999935,36.77298825000071,36.778919041000336,36.930308875000264,36.92250391599919,36.92252420799923,36.930308875000264,37.44109633299922,37.42252799999915,37.422545540999636,37.43886910800066,37.679207958000916,37.679207958000916,37.948137707999194,38.456872790999114,l,0,0.776009499999418,None,1,0.776009499999418,38.458852457999456,38.467283165999106,39.46199441600038,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,11,11,39,39.47166320799988,,,,,,,,,,,,,,,,,,,,,,,,39.46216304100017,0.15,Naturalistic_scenes/Ambiguous/9411.jpg,1.25,39.46243624999988,39.462445416000264,39.47166320799988,39.62156970800061,39.61361891600063,39.61362779100091,39.62156970800061,,40.1137630409994,40.11376954099978,40.71378826250039,40.36172279099992,40.36172279099992,41.21796495799936,41.60595475000082,None,0,,,,,41.60646816600092,41.61614829099926,42.613345125000706,41.61614829099926,41.61614829099926,0.6000000000000001,1,0.6500000000000001,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,12,12,34,42.62146983300045,,,,,,,,,,,,,,,,,,,,,,,,42.61351212500085,0.35,Naturalistic_scenes/Ambiguous/7100.jpg,1.25,42.61378070799947,42.61378841599981,42.62146983300045,42.971729582999615,42.96252649999951,42.96253520800019,42.971729582999615,,43.47154216600029,43.47156512500078,43.48844731600039,43.71018916600042,43.71018916600042,43.99264566599959,44.247059125000305,a,0,0.5292783330005477,None,1,0.5292783330005477,44.247447874999125,44.27071283300029,45.255607040999166,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,13,13,0,45.26361104100033,,,,,,,,,,,,,,,,,,,,,,,,45.256138999999166,0.15,Naturalistic_scenes/Ambiguous/8060.jpg,1.25,45.256764375000785,45.25679204100015,45.26361104100033,45.41334479100078,45.40630179099935,45.406327165999755,45.41334479100078,45.92397024999991,45.90582804100086,45.90584858299917,45.92215460799926,46.16222799999923,46.16222799999923,46.42524116599998,46.815186665999136,l,0,0.6435662080002658,None,1,0.6435662080002658,46.815593957999226,46.82226941599947,47.822113665999495,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Ambiguous,go,ambiguous_image,none,a,l,,,,,0,0,0,0,0,14,14,9,47.83042137499979,,,,,,,,,,,,,,,,,,,,,,,,47.822652832999665,0.15,Naturalistic_scenes/Negative/6020.jpg,1.25,47.823270708000564,47.82329175000086,47.83042137499979,47.97992066600091,47.97286737499962,47.97289241600083,47.97992066600091,48.490757999999914,48.47268908300066,48.47270650000064,48.489060190999595,48.73030674999973,48.73030674999973,48.996479040999475,49.363482291000764,a,0,0.6261024590003217,None,1,0.6261024590003217,49.3639445000008,49.37229962499987,50.37202875000003,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,15,15,23,50.380519708000065,,,,,,,,,,,,,,,,,,,,,,,,50.37258329100041,0.25,Naturalistic_scenes/Positive/4130.jpg,1.25,50.373355375000756,50.373374000000695,50.380519708000065,50.63106245800009,50.622795125000266,50.62282533299913,50.63106245800009,,51.12661320799998,51.12663720800083,51.152039620499274,51.387968166000064,51.387968166000064,51.65908129099989,51.97258675000012,a,0,0.5765264579986251,None,0,0.5765264579986251,51.972947333000775,51.98275987499983,52.98071766599969,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,no_go,negative_image,none,None,None,,,,,0,0,0,0,0,16,16,40,52.987902582999595,,,,,,,,,,,,,,,,,,,,,,,,52.98090866600069,0.15,Naturalistic_scenes/Positive/5199.jpg,1.25,52.981110374999844,52.98111979100031,52.987902582999595,53.13860762500008,53.12929224999971,53.12930245800089,53.13860762500008,,53.63032529100019,53.63033195800017,54.28051901249928,53.88053362500068,53.88053362500068,54.784875332999945,55.12249924999924,None,0,,,,,55.123011416000736,55.132475750000594,56.12878450000062,55.132475750000594,55.132475750000594,0.6500000000000001,1,0.7000000000000002,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Positive,go,positive_image,none,a,None,,,,,0,0,0,0,0,17,17,35,56.13818458300011,,,,,,,,,,,,,,,,,,,,,,,,56.12906095799917,0.15,Naturalistic_scenes/Positive/8470.jpg,1.25,56.12934741599929,56.12935641600052,56.13818458300011,56.28855737500089,56.27988587499931,56.27989499999967,56.28855737500089,,56.780347750000146,56.780354541000634,56.79735369099981,57.0291506249996,57.0291506249996,57.30272754100042,57.6398600829998,a,0,0.6006169580014102,None,1,0.6006169580014102,57.640800999999556,57.65181174999998,58.64517683300073,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
Negative,go,negative_image,none,l,None,,,,,0,0,0,0,0,18,18,16,58.654938040999696,,,,,,,,,,,,,,,,,,,,,,,,58.645349750000605,0.35,Naturalistic_scenes/Positive/8540.jpg,1.25,58.645539790999464,58.64554895800029,58.654938040999696,59.0049744579992,58.99636666600054,58.99637687500035,59.0049744579992,59.51241391599979,59.49603779099925,59.49604499999987,59.512844900000715,59.74552508300076,59.74552508300076,60.01836495799944,60.20743733299969,a,0,0.4601623329999711,None,0,0.4601623329999711,60.208392291000564,60.21823637499983,61.21303287500086,,,,,,,,,jd,001,2024-02-08_16h20.54.810,ESST,2023.2.3,118.82552847492606,2024-02-08 16h21.01.981537 -0800,
