trial_type,go_nogo,stim_type,corr_resp1,corr_resp2,imgLoader.thisRepN,imgLoader.thisTrialN,imgLoader.thisN,imgLoader.thisIndex,pracBlock_loop.thisRepN,pracBlock_loop.thisTrialN,pracBlock_loop.thisN,pracBlock_loop.thisIndex,pracTrials_loop.thisRepN,pracTrials_loop.thisTrialN,pracTrials_loop.thisN,pracTrials_loop.thisIndex,thisRow.t,notes,loadStims.started,loadStims.stopped,shuffleStims.started,shuffleStims.stopped,prepTimings.started,prepTimings.stopped,instructions.started,textInstructions.started,keyInstruct.started,instructions.stopped,keyInstruct.keys,keyInstruct.rt,keyInstruct.duration,prepPrac.started,textPractice.started,keyPractice.started,prepPrac.stopped,keyPractice.keys,keyPractice.rt,keyPractice.duration,prepTrial.started,jitter_time,stimulus_image,trial_time,buzz_time,prepTrial.stopped,jitteredISI.started,textJitteredFix.started,textJitteredFix.stopped,jitteredISI.stopped,preTrial.started,textPreTrialFix.started,textPreTrialFix.stopped,preTrial.stopped,iceTrial.started,imageTarg.started,keyResp.started,stopSignal.started,stopSignal.stopped,imageTarg.stopped,keyResp.stopped,iceTrial.stopped,keyResp.keys,keyResp.corr,no_go_acc,new_buzz_time,adjusted_buzz_time,postTrial.started,textPostTrial.started,postTrial.stopped,textPostTrial.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.38930145899939816,,0.3437013750008191,0.34378908399958163,0.34381150000263005,0.3440532090025954,0.3440582089970121,0.3441531249991385,0.3441601669983356,0.38930145899939816,0.38930145899939816,1.6474024589988403,space,1.2388120420000632,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239852,001,2024-02-09_16h46.25.943,ESST,2023.2.3,None,2024-02-09 16h46.31.863287 -0800,
Positive,no_go,positive_image,None,None,,,,,0,0,0,0,0,0,0,47,2.351084624999203,,,,,,,,,,,,,,,1.6478687089984305,1.658716917001584,1.658716917001584,2.3288869590032846,space,0.6597620419997838,None,2.341156916998443,0.15,Naturalistic_scenes/Positive/4676.jpg,1.25,0.5,2.341405291997944,2.3414127500000177,2.351084624999203,2.4944541250006296,2.484526000000187,2.484539750003023,2.4944541250006296,3.0033114589969045,2.978367124997021,2.97838483400119,3.2345604590009316,3.2345604590009316,3.484268125667101,3.980385249997198,4.480038333997072,4.480038333997072,4.468156542003271,None,0,1,0.55,0.55,4.468535708998388,4.480038333997072,5.468750250001904,,239852,001,2024-02-09_16h46.25.943,ESST,2023.2.3,None,2024-02-09 16h46.31.863287 -0800,
Negative,go,negative_image,l,None,,,,,0,0,0,0,0,1,1,14,5.477556958998321,,,,,,,,,,,,,,,,,,,,,,5.469062750002195,0.25,Naturalistic_scenes/Positive/2540.jpg,1.25,0.55,5.469398333996651,5.469406750002236,5.477556958998321,5.719144834001781,5.712008333997801,5.712029292000807,5.719144834001781,6.222131875001651,6.202059584000381,6.202069624996511,6.461070625002321,6.461070625002321,6.76125125066416,7.256885875001899,7.701344084001903,7.701344084001903,7.6952012089968775,None,0,1,0.6000000000000001,0.6000000000000001,7.695664541999577,7.701344084001903,8.68439566699817,8.694494834002398,239852,001,2024-02-09_16h46.25.943,ESST,2023.2.3,None,2024-02-09 16h46.31.863287 -0800,
,,,,,,,,,,,,,,,,,8.694494834002398,,,,,,,,,,,,,,,,,,,,,,8.684657666999556,0.25,Naturalistic_scenes/Positive/4664.jpg,1.25,0.6000000000000001,8.684831833998032,8.684857166997972,8.694494834002398,8.934385499997006,8.92863383400254,8.928659334000258,8.934385499997006,9.437664124998264,9.419251708997763,9.419260834001761,9.677618499998061,9.677618499998061,10.027772958663506,10.523806874996808,,,,,,,,,,,,,,,,,,,,
